max_spans,overlap_threshold,min_span_score,rouge1_f1
3,0.7,0.55,0.3009607549492418
3,0.6,0.55,0.3009607549492418
3,0.5,0.55,0.3009607549492418
4,0.7,0.55,0.30067666404015087
4,0.6,0.55,0.30067666404015087
4,0.5,0.55,0.30067666404015087
2,0.5,0.55,0.294613921957672
2,0.6,0.55,0.294613921957672
2,0.7,0.55,0.294613921957672
4,0.7,0.45,0.20999420168424376
4,0.6,0.45,0.20999420168424376
4,0.5,0.45,0.20999420168424376
3,0.5,0.45,0.20567225109534545
3,0.7,0.45,0.20567225109534545
3,0.6,0.45,0.20567225109534545
2,0.5,0.45,0.20037372587924057
2,0.7,0.45,0.20037372587924057
2,0.6,0.45,0.20037372587924057
4,0.5,0.35,0.025470392160434237
4,0.7,0.35,0.025470392160434237
4,0.7,0.0,0.025470392160434237
4,0.6,0.35,0.025470392160434237
4,0.6,0.0,0.025470392160434237
4,0.5,0.0,0.025470392160434237
3,0.6,0.0,0.018172251095345468
3,0.5,0.35,0.018172251095345468
3,0.7,0.35,0.018172251095345468
3,0.7,0.0,0.018172251095345468
3,0.5,0.0,0.018172251095345468
3,0.6,0.35,0.018172251095345468
2,0.7,0.0,0.012873725879240586
2,0.7,0.35,0.012873725879240586
2,0.6,0.35,0.012873725879240586
2,0.6,0.0,0.012873725879240586
2,0.5,0.35,0.012873725879240586
2,0.5,0.0,0.012873725879240586
